symbol,qty,avg_price_paid,current_price,cost_basis,market_value,unrealized_gains_loss,unrealized_percent_gains_loss
ACN,100,326.71,318.65,32671,31865,-806,-0.0246701968106272
BA,300,237.01,239.82,71103,71946,843,0.0118560398295431
BTCUSD,0.997499998,30746.646921112,29523.44,30669.780242316,29449.63134095312,-1220.14890136288,-0.0397834249780311
COST,50,526.42,566,26321,28300,1979,0.0751871129516356
CRM,200,208.55,224.85,41710,44970,3260,0.0781587149364661
CRWD,200,145.85,154.025,29170,30805,1635,0.0560507370586219
F,1000,14.95,13.15,14950,13150,-1800,-0.1204013377926421
GOOGL,500,120.95,132.6023,60475,66301.15,5826.15,0.0963398098387764
GRMN,300,105.07,104.955,31521,31486.5,-34.5,-0.0010945084229561
IAC,400,63.59,66.54,25436,26616,1180,0.0463909419720082
PYPL,500,70.52,73.715,35260,36857.5,1597.5,0.0453062960862167
RIVN,400,27.33,26.8569,10932,10742.76,-189.24,-0.0173106476399561
TSLA,200,256.23,260.96,51246,52192,946,0.018459977364087
VZ,1000,36.87,33.94,36870,33940,-2930,-0.0794684024952536
